"","B1","B2","B3","S1U","S1V","S1B","S1G","S1Y","S1R","S2","S3","S4","S5","S6","S7","S8","S9","S10","H1","H2","H3","H4","H5"
"palm_tumV_d_45_25_Reflection",9354.75158356227,23.3285575649932,29.159522836058,0.217550179239836,0.246453785826403,0.249062287192917,0.283536276383728,0.22505940812637,0.257272653546986,1.62414220051497,0.13221178427129,0.156759295477215,848.826351822533,11.2057237002359,0.774225472563418,0.480343616145867,0.267700685586809,0.075298326854004,700,655,657,1.01065993649319,699
"palm_camino1_v_Reflection",4884.41888922884,12.1805957337378,18.4535445161369,0.191768861114335,0.21810115866264,0.235360153305531,0.3237889067919,0.246726693718383,0.256528675777437,2.17175144231891,0.334147950965658,0.128382466884464,758.466551569546,9.95646508220638,0.627568911595215,0.817403787125863,0.365666154717289,0.104940314631921,550,300,629,1.16024644493252,699
"palm_cartel_v_Reflection",4773.52365496494,11.9040490148752,17.906532496512,0.194600550306566,0.221586048982548,0.234963958777774,0.32045725702574,0.24481099791596,0.257388550377974,2.11386856414776,0.331285575071832,0.121741822409064,715.223120789186,9.43555525591367,0.608224150105351,0.792634106607182,0.40235661741007,0.0964967206419383,551,569,626,1.1389938886869,699
"palm_tumJ_v_Reflection",4904.76790548775,12.2313414101939,21.5808811877087,0.123424159691929,0.154451953963484,0.265376091799902,0.365838081500345,0.269420277988644,0.253714038714129,69.9954919364098,0.378075701789293,0.194000052962846,1262.3841378747,21.2725630290577,0.792165409127884,1.73918479712525,0.319420562161899,0.337401942754474,549,569,659,1.44068696764341,699
"palm_tumV_v_Reflection",6810.93134085853,16.9848661866796,21.2300276979805,0.231151810282982,0.261955576509032,0.255777839901201,0.280573178325931,0.215881815097355,0.239899067309843,1.52029755170977,0.292632455190106,0.0886008056063794,448.162242969082,7.26563784935865,0.94803923104619,0.427771274115584,0.191417108419213,0.0379008795019081,550,655,691,1.20643103838756,699
"palm_camino1_v_45_90_Reflection",4854.78434194941,12.1066941195746,20.384570723659,0.174827058944824,0.19923136302984,0.231649879631469,0.347782391414972,0.260008607122701,0.253157614112667,2.64865879251002,0.358023271295228,0.166465161899712,940.43316334223,12.6883847214063,0.938706008131001,1.04804702225781,0.397174322727934,0.174463317238658,550,569,691,1.23977569807293,699
"palm_cartel_v_45_90_Reflection",3208.27932695284,8.00069657594223,14.3421055425363,0.170260691681689,0.192346724206616,0.216794970256317,0.364820422826047,0.272434495679722,0.255530151121941,3.07316009917672,0.374322510246537,0.132912511795553,703.844920268565,9.67521378301536,0.565439437956232,1.20929642702716,0.488931935367229,0.160730625621567,550,569,617,1.19484422006721,699
"palm_tumJ_v_45_90_Reflection",3140.79482237013,7.83240604082326,15.2166563781381,0.113707637568935,0.130072314951453,0.202374594940586,0.400775469359939,0.306875801984357,0.290720491254245,4.70539852871746,0.409969143105135,0.133969432601619,1016.71130029349,11.9827844148454,0.691990326635953,1.52989826528272,0.559888990351319,0.204959602538127,551,655,646,1.14624150385813,699
"palm_tumV_v_45_90_Reflection",4700.53319593542,11.7220279200384,16.4495379848246,0.197652207041232,0.224454352515803,0.24356155624241,0.310039007460703,0.239746859726148,0.25625437825965,1.96342224165481,0.321703096279987,0.0957870863837638,633.979496438995,8.07154488897346,0.92728696301329,0.688579224007426,0.303274974542022,0.0659569976120643,551,655,688,1.15834546893564,699
"palm_camino1_v_45_25_Reflection",6195.20147781582,15.4493802439297,23.8940000078505,0.178373110371059,0.203293505696642,0.24036999064145,0.33123540171032,0.251696099641632,0.257507769497346,2.37841241303582,0.342352436185309,0.147632285996607,1080.17853081294,13.8478028568055,0.678238157527897,0.896333874767987,0.326134905841626,0.132327818948195,550,569,638,1.22403628978584,699
"palm_cartel_v_45_25_Reflection",5091.07368954154,12.6959443629465,21.3216247478239,0.147848617105125,0.170241046625454,0.232533362411526,0.356369014864868,0.271392176607225,0.270876600796597,3.06164426285637,0.36778879060896,0.15335291259094,1191.93443315197,14.3575156230323,0.698492868384541,1.13087417623971,0.421936203898593,0.173422848700239,551,655,644,1.21168203108484,699
"palm_tumJ_v_45_25_Reflection",5633.92581732529,14.0496903175194,25.8200986476605,0.0983831527692978,0.12039933010543,0.245269418319342,0.386389104974598,0.290114256550159,0.278063016142185,12.9956671609911,0.398413568277934,0.198515878199332,1749.6676267204,23.8332750142295,-0.572091569653672,1.69635589650758,0.391319735060001,0.336753580533818,550,655,462,1.30966013723866,699
"palm_tumV_v_45_25_Reflection",7654.90518442307,19.0895391132745,25.2857924685003,0.205577982544722,0.232960594537933,0.24804675064919,0.29801862365965,0.231660270022205,0.255837014841023,1.81408038441895,0.310102010725622,0.170758003142261,880.973858423989,11.3471640120776,-0.15200235521159,0.594417913640827,0.262087568198326,0.101501615965296,551,300,500,1.13119877755208,699
